Song,Measure,Week,Issue,File Path
Althea,plays,20250418,Missing CSV,parsed csvs/plays_by_city_1748029276_20250418.csv
What Home Is,plays,20250418,Missing CSV,parsed csvs/plays_by_city_1711474234_20250418.csv
The Way That It Was,plays,20250418,Missing CSV,parsed csvs/plays_by_city_1711474242_20250418.csv
Slipping Away,plays,20250418,Missing CSV,parsed csvs/plays_by_city_1711474243_20250418.csv
Crash,plays,20250418,Missing CSV,parsed csvs/plays_by_city_1711474239_20250418.csv
Kid,plays,20250418,Missing CSV,parsed csvs/plays_by_city_1711474235_20250418.csv
All In,plays,20250418,Missing CSV,parsed csvs/plays_by_city_1711474237_20250418.csv
Easy,plays,20250418,Missing CSV,parsed csvs/plays_by_city_1711474241_20250418.csv
Cycles,plays,20250418,Missing CSV,parsed csvs/plays_by_city_1711474233_20250418.csv
Holding On,plays,20250418,Missing CSV,parsed csvs/plays_by_city_1711474240_20250418.csv
That Thing,listeners,20250418,Missing CSV,parsed csvs/listeners_by_city_1807227251_20250418.csv
That Thing,listeners,20250328,Missing CSV,parsed csvs/listeners_by_city_1807227251_20250328.csv
That Thing,listeners,20250321,Missing CSV,parsed csvs/listeners_by_city_1807227251_20250321.csv
Althea,listeners,20250418,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250418.csv
Althea,listeners,20250328,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250328.csv
Althea,listeners,20250321,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250321.csv
Althea,listeners,20250314,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250314.csv
Althea,listeners,20250307,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250307.csv
Althea,listeners,20250228,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250228.csv
Althea,listeners,20250221,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250221.csv
Althea,listeners,20250214,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250214.csv
Althea,listeners,20250207,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250207.csv
Althea,listeners,20250131,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250131.csv
Althea,listeners,20250124,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250124.csv
Althea,listeners,20250117,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250117.csv
Althea,listeners,20250110,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250110.csv
Althea,listeners,20250103,Missing CSV,parsed csvs/listeners_by_city_1748029276_20250103.csv
