city,song,song_id,release_date,peak_date,peak_streams,peak_listeners,weeks_to_peak,is_still_growing,peaked_first_week
Kansas City,The Way That It Was,1711474242,2023-11-10,2023-12-22,1,1,6.0,False,False
Kansas City,Althea,1748029276,2024-06-21,2024-06-28,11,10,1.0,False,False
Kansas City,That Thing,1807227251,2025-03-21,2025-04-11,2,1,3.0,False,False
Kansas City,Cycles,1711474233,2023-11-10,2023-11-24,2,1,2.0,False,False
Montréal,The Way That It Was,1711474242,2023-11-10,2023-12-22,1,1,6.0,False,False
Montréal,Althea,1748029276,2024-06-21,2024-07-05,5,5,2.0,False,False
Montréal,Slipping Away,1711474243,2023-11-10,2023-12-22,1,1,6.0,False,False
Montréal,Kid,1711474235,2023-11-10,2023-12-22,1,1,6.0,False,False
Montréal,That Thing,1807227251,2025-03-21,2025-03-28,2,2,1.0,False,False
Montréal,Cycles,1711474233,2023-11-10,2023-12-22,1,1,6.0,False,False
Montréal,What Home Is,1711474234,2023-11-10,2023-12-22,1,1,6.0,False,False
Montréal,Crash,1711474239,2023-11-10,2023-12-22,1,1,6.0,False,False
Montréal,All In,1711474237,2023-11-10,2023-12-22,1,1,6.0,False,False
Montréal,Easy,1711474241,2023-11-10,2023-12-22,1,1,6.0,False,False
Montréal,Holding On,1711474240,2023-11-10,2023-12-22,1,1,6.0,False,False
Nashville,What Home Is,1711474234,2023-11-10,2023-11-17,1,1,1.0,False,False
Nashville,That Thing,1807227251,2025-03-21,2025-03-21,4,4,0.0,False,True
Nashville,Cycles,1711474233,2023-11-10,2023-11-17,1,1,1.0,False,False
Nashville,Holding On,1711474240,2023-11-10,2023-11-17,1,0,1.0,False,False
Nashville,Kid,1711474235,2023-11-10,2023-11-17,1,1,1.0,False,False
Nashville,All In,1711474237,2023-11-10,2023-11-17,1,1,1.0,False,False
Nashville,Althea,1748029276,2024-06-21,2024-06-21,19,13,0.0,False,True
Nashville,Breaking Me Down,1807227249,2025-04-25,2025-05-09,1,1,2.0,False,False
Nashville,Crash,1711474239,2023-11-10,2023-11-17,1,1,1.0,False,False
New York City,Holding On,1711474240,2023-11-10,2024-01-26,2,2,11.0,False,False
New York City,The Way That It Was,1711474242,2023-11-10,2024-01-12,2,1,9.0,False,False
New York City,Cycles,1711474233,2023-11-10,2024-01-26,4,2,11.0,False,False
