Song,Measure,Period,Period Type,Issue,File Path
Slipping Away,listeners,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474243_20241213.csv
Slipping Away,listeners,20241220,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474243_20241220.csv
Slipping Away,listeners,20241227,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474243_20241227.csv
Slipping Away,listeners,20250117,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474243_20250117.csv
Slipping Away,listeners,20250124,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474243_20250124.csv
Slipping Away,listeners,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474243_20250131.csv
Slipping Away,listeners,20250207,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474243_20250207.csv
Slipping Away,listeners,20250404,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_listeners_by_city_1711474243_20250404.csv
Slipping Away,plays,20240510,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474243_20240510.csv
Slipping Away,plays,20240607,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474243_20240607.csv
Slipping Away,plays,20241018,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474243_20241018.csv
Slipping Away,plays,20241108,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474243_20241108.csv
Slipping Away,plays,20241213,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474243_20241213.csv
Slipping Away,plays,20241220,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474243_20241220.csv
Slipping Away,plays,20250117,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474243_20250117.csv
Slipping Away,plays,20250124,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474243_20250124.csv
Slipping Away,plays,20250131,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474243_20250131.csv
Slipping Away,plays,20250207,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474243_20250207.csv
Slipping Away,plays,20250404,weekly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_weekly_plays_by_city_1711474243_20250404.csv
That Thing,listeners,20231101,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20231101.csv
That Thing,listeners,20231201,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20231201.csv
That Thing,listeners,20240101,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20240101.csv
That Thing,listeners,20240201,monthly,Unreadable CSV (No columns to parse from file),parsed csvs/parsed_monthly_listeners_by_city_1807227251_20240201.csv
